Year,Total P&L,Trades,Wins,EOY Capital,Winrate
2017,200685.0,66,36,300685.0,54.5
2018,1250575.0,245,166,1551260.0,67.8
2019,1222895.0,241,167,2774155.0,69.3
2020,1569560.0,250,201,4343715.0,80.4
2021,1257985.0,248,189,5601700.0,76.2
2022,1637065.0,248,209,7238765.0,84.3
2023,594550.0,245,130,7833315.0,53.1
2024,1304055.0,246,180,9137370.0,73.2
2025,709560.0,249,139,9846930.0,55.8
2026,121015.0,20,16,9967945.0,80.0
