date,close,high,low,open,volume
2016-02-11,169.15049743652344,175.6873044645691,168.0893235783176,172.97069767766914,31817116
2016-02-12,164.31155395507812,168.42889077515366,161.72230575091282,166.90080215924343,41775526
2016-02-15,172.75845336914062,175.98440845117628,164.60866235987208,164.60866235987208,34130349
2016-02-16,166.90081787109375,175.72976565031644,165.96698822609034,175.72976565031644,20895952
2016-02-17,161.93453979492188,167.3677250263676,160.32156916332158,166.81592828341522,28792115
2016-02-18,166.51876831054688,168.9382381684479,164.01441652268488,164.2690908107817,32260277
2016-02-19,168.76849365234375,171.0181860389525,165.75477818486135,166.22169305298772,17617480
2016-02-22,168.47134399414062,170.89081414733124,166.77347720199006,167.66485869277997,17567788
2016-02-23,162.99569702148438,169.27781502202114,161.51005657906728,169.27781502202114,20001984
2016-02-24,158.7510223388672,162.31654814038535,157.7747447029071,160.44888905404574,20654961
2016-02-25,155.3553009033203,160.44891615842013,154.1243487517839,159.34530830676658,38340699
2016-02-26,156.8833770751953,157.8596547971732,153.44518100000764,156.4589103590018,24687792
2016-02-29,161.3402862548828,166.30657110508534,154.2516820526288,156.88337856789022,43510436
2016-03-01,173.9894256591797,175.26284000490026,165.75475175233743,165.75475175233743,27223692
2016-03-02,186.76593017578125,187.9544341636682,179.21039677337745,179.71975969650316,40766551
2016-03-03,185.06805419921875,187.02059535159432,181.8420844277432,185.5774028482844,22903720
2016-03-04,187.19036865234372,190.50122002842508,185.95941675254852,188.2515424361268,24493722
2016-03-08,184.09176635742188,186.72346264542784,181.9269705971545,186.72346264542784,18883002
2016-03-09,183.66729736328125,184.98314549073064,178.3189944189064,180.6535682737708,17300650
2016-03-10,182.9457092285156,185.78964618326057,182.18167199405937,185.068057045064,13551255
2016-03-11,181.54495239257807,185.5349591754415,180.48377855682403,181.12048570809813,14879621
2016-03-14,188.1666717529297,189.1429494864529,185.61985717654093,185.9169938557668,16726756
2016-03-15,187.91197204589844,190.88325316759347,187.1903829372886,189.14293828873912,13475557
2016-03-16,192.1990966796875,193.0480300512249,185.53495973874303,186.68101551558607,17144832
2016-03-17,193.34515380859372,200.56110123443187,190.96813197738277,195.25526089169375,32391146
2016-03-18,195.425048828125,196.4862226496548,191.9868673050128,193.72718211296385,18370981
2016-03-21,199.3726043701172,200.00931150297387,196.4862195998583,196.57111578412025,14818419
2016-03-22,198.31141662597656,199.16034991070973,195.764616771777,199.16034991070973,12269251
2016-03-23,198.82080078125,199.49995603137788,195.9344159041461,196.4862268731672,16987529
2016-03-28,191.39259338378903,198.650988701142,190.07674535687025,198.650988701142,20214214
2016-03-29,189.6522979736328,192.66601288988448,188.80336459579036,189.5674017860269,20447782
2016-03-30,201.62229919433597,202.8956993194895,192.5386916861545,193.9818699451965,23016348
2016-03-31,200.90069580078125,204.89068827594824,198.3963295749255,202.2165439282584,30614104
2016-04-01,202.30145263671875,203.2777303318539,197.54740844713265,200.3488972464485,15677352
2016-04-04,202.6834716796875,204.63602707413688,199.2028275962201,203.95687179598144,16716587
2016-04-05,191.5199737548828,201.6223074778796,191.01061083407268,200.688477831246,26547328
2016-04-06,188.93069458007807,193.55739431234144,186.85080922980345,192.96314949746773,19185947
2016-04-07,187.0205993652344,190.37389924638688,186.04432164354023,189.1429471946944,17724531
2016-04-08,187.8270721435547,189.9918535114689,186.38387981524284,187.23281312622456,9986871
2016-04-11,190.7559051513672,191.1803718391451,186.001875398433,188.63357171247767,19813955
2016-04-12,194.1941070556641,196.0193181447921,189.99187389134653,190.41634059236875,20594261
2016-04-13,204.29640197753903,207.31013066513947,197.8444922298128,197.88694031688655,26283492
2016-04-18,201.32516479492188,207.09792023495416,199.1603690369401,206.71590164504804,17531597
2016-04-20,202.08921813964844,203.4050663875155,198.7359182504973,202.98059967043287,18650423
2016-04-21,214.8232421875,218.8556827449416,209.0504725797408,209.0504725797408,36699098
2016-04-22,213.93186950683597,218.1765507013382,212.40378085702903,217.5398435349749,25884500
2016-04-25,214.7383270263672,216.77577829591027,213.21023857420988,214.8656712929903,18121694
2016-04-26,215.67218017578125,216.22399114265988,209.26271753914156,212.95558768403384,30185498
2016-04-27,207.6497344970703,213.0829337758557,206.5036787091424,212.9980375880592,36932788
2016-04-28,203.8294982910156,210.53609692384708,202.89566882310777,208.328867522185,41386507
2016-04-29,201.15538024902344,207.47996114705603,196.35888801918185,204.38133571579857,71191415
2016-05-02,192.4962310791016,195.67973830962777,191.35016106657596,192.9631458528883,36440547
