Year-Month,P&L,Trades,Wins,Capital,Winrate
2017-09,8630.0,4,4,108630.0,100.0
2017-10,56080.0,20,18,164710.0,90.0
2017-11,99320.0,22,22,264030.0,100.0
2017-12,37045.0,20,17,301075.0,85.0
2018-01,89325.0,21,17,390400.0,81.0
2018-02,176540.0,19,17,566940.0,89.5
2018-03,87770.0,19,17,654710.0,89.5
2018-04,-15810.0,21,8,638900.0,38.1
2018-05,46865.0,22,18,685765.0,81.8
2018-06,91485.0,21,20,777250.0,95.2
2018-07,36260.0,22,18,813510.0,81.8
2018-08,48735.0,21,18,862245.0,85.7
2018-09,90570.0,18,17,952815.0,94.4
2018-10,203505.0,21,19,1156320.0,90.5
2018-11,84505.0,20,11,1240825.0,55.0
2018-12,183625.0,20,18,1424450.0,90.0
2019-01,54965.0,22,16,1479415.0,72.7
2019-02,59465.0,19,17,1538880.0,89.5
2019-03,76785.0,18,13,1615665.0,72.2
2019-04,39815.0,19,14,1655480.0,73.7
2019-05,179780.0,22,19,1835260.0,86.4
2019-06,77540.0,19,14,1912800.0,73.7
2019-07,96205.0,23,22,2009005.0,95.7
2019-08,161560.0,20,18,2170565.0,90.0
2019-09,147185.0,19,17,2317750.0,89.5
2019-10,139925.0,19,15,2457675.0,78.9
2019-11,39460.0,20,14,2497135.0,70.0
2019-12,68055.0,21,19,2565190.0,90.5
2020-01,73120.0,23,20,2638310.0,87.0
2020-02,136520.0,19,15,2774830.0,78.9
2020-03,453885.0,21,21,3228715.0,100.0
2020-04,147960.0,18,16,3376675.0,88.9
2020-05,239060.0,19,18,3615735.0,94.7
2020-06,272450.0,22,21,3888185.0,95.5
2020-07,218605.0,23,18,4106790.0,78.3
2020-08,181335.0,21,17,4288125.0,81.0
2020-09,180815.0,22,20,4468940.0,90.9
2020-10,205680.0,21,19,4674620.0,90.5
2020-11,188390.0,19,17,4863010.0,89.5
2020-12,227120.0,22,20,5090130.0,90.9
2021-01,234625.0,20,19,5324755.0,95.0
2021-02,229285.0,20,19,5554040.0,95.0
2021-03,180720.0,21,20,5734760.0,95.2
2021-04,166625.0,19,16,5901385.0,84.2
2021-05,192100.0,20,17,6093485.0,85.0
2021-06,46280.0,22,14,6139765.0,63.6
2021-07,69960.0,21,20,6209725.0,95.2
2021-08,40680.0,21,16,6250405.0,76.2
2021-09,98145.0,21,16,6348550.0,76.2
2021-10,61645.0,20,17,6410195.0,85.0
2021-11,126850.0,20,14,6537045.0,70.0
2021-12,192730.0,23,20,6729775.0,87.0
2022-01,182575.0,20,17,6912350.0,85.0
2022-02,200425.0,20,19,7112775.0,95.0
2022-03,182250.0,21,19,7295025.0,90.5
2022-04,194030.0,19,18,7489055.0,94.7
2022-05,182580.0,21,18,7671635.0,85.7
2022-06,251120.0,22,21,7922755.0,95.5
2022-07,177585.0,21,17,8100340.0,81.0
2022-08,129475.0,20,15,8229815.0,75.0
2022-09,180755.0,22,21,8410570.0,95.5
2022-10,171965.0,19,16,8582535.0,84.2
2022-11,-13695.000000000002,21,10,8568840.0,47.6
2022-12,80780.0,22,19,8649620.0,86.4
2023-01,104640.0,21,21,8754260.0,100.0
2023-02,23845.0,20,14,8778105.0,70.0
2023-03,35220.0,21,17,8813325.0,81.0
2023-04,-20075.0,17,6,8793250.0,35.3
2023-05,55685.0,22,20,8848935.0,90.9
2023-06,41955.0,21,17,8890890.0,81.0
2023-07,72330.0,21,19,8963220.0,90.5
2023-08,39140.0,22,16,9002360.0,72.7
2023-09,55810.0,20,19,9058170.0,95.0
2023-10,80365.0,20,18,9138535.0,90.0
2023-11,24655.0,20,15,9163190.0,75.0
2023-12,96685.0,20,13,9259875.0,65.0
2024-01,151290.0,21,18,9411165.0,85.7
2024-02,41280.0,21,12,9452445.0,57.1
2024-03,83190.0,18,17,9535635.0,94.4
2024-04,70540.0,20,18,9606175.0,90.0
2024-05,48840.0,21,17,9655015.0,81.0
2024-06,49715.0,19,14,9704730.0,73.7
2024-07,64100.0,22,19,9768830.0,86.4
2024-08,-8640.0,21,6,9760190.0,28.6
2024-09,82350.0,21,20,9842540.0,95.2
2024-10,83750.0,22,14,9926290.0,63.6
2024-11,94565.0,19,17,10020855.0,89.5
2024-12,157335.0,21,17,10178190.0,81.0
2025-01,71965.0,23,19,10250155.0,82.6
2025-02,127510.0,20,19,10377665.0,95.0
2025-03,114110.0,19,14,10491775.0,73.7
2025-04,134990.0,19,14,10626765.0,73.7
2025-05,128355.0,21,15,10755120.0,71.4
2025-06,89505.0,21,17,10844625.0,81.0
2025-07,58555.0,23,21,10903180.0,91.3
2025-08,63290.0,19,17,10966470.0,89.5
2025-09,22280.0,22,16,10988750.0,72.7
2025-10,19980.0,21,14,11008730.0,66.7
2025-11,64250.0,19,17,11072980.0,89.5
2025-12,72740.0,22,20,11145720.0,90.9
2026-01,49075.0,20,17,11194795.0,85.0
