date,vix
2016-02-11,25.969999313354492
2016-02-12,24.670000076293945
2016-02-15,22.3799991607666
2016-02-16,23.040000915527344
2016-02-17,21.829999923706055
2016-02-18,21.489999771118164
2016-02-19,20.920000076293945
2016-02-22,21.020000457763672
2016-02-23,23.84000015258789
2016-02-24,22.959999084472656
2016-02-25,22.75
2016-02-26,21.8700008392334
2016-02-29,20.15999984741211
2016-03-01,18.670000076293945
2016-03-02,18.989999771118164
2016-03-03,18.040000915527344
2016-03-04,17.8799991607666
2016-03-08,18.469999313354492
2016-03-09,17.510000228881836
2016-03-10,17.899999618530273
2016-03-11,17.100000381469727
2016-03-14,17.100000381469727
2016-03-15,17.600000381469727
2016-03-16,17.110000610351562
2016-03-17,16.84000015258789
2016-03-18,16.3799991607666
2016-03-21,16.329999923706055
2016-03-22,16.43000030517578
2016-03-23,16.350000381469727
2016-03-28,17.489999771118164
2016-03-29,17.639999389648438
2016-03-30,16.809999465942383
2016-03-31,16.579999923706055
2016-04-01,17.280000686645508
2016-04-04,17.450000762939453
2016-04-05,17.829999923706055
2016-04-06,17.350000381469727
2016-04-07,16.93000030517578
2016-04-08,16.43000030517578
2016-04-11,16.010000228881836
2016-04-12,16.020000457763672
2016-04-13,16.040000915527344
2016-04-18,16.950000762939453
2016-04-20,17.079999923706055
2016-04-21,16.510000228881836
2016-04-22,16.3799991607666
2016-04-25,16.56999969482422
2016-04-26,16.579999923706055
2016-04-27,16.350000381469727
2016-04-28,16.600000381469727
2016-04-29,16.540000915527344
2016-05-02,17.09000015258789
2016-05-03,17.459999084472656
2016-05-04,17.450000762939453
2016-05-05,17.170000076293945
2016-05-06,16.950000762939453
2016-05-09,16.610000610351562
2016-05-10,16.420000076293945
2016-05-11,16.959999084472656
2016-05-12,16.329999923706055
2016-05-13,17.0
2016-05-16,17.030000686645508
2016-05-17,16.3700008392334
2016-05-18,16.450000762939453
2016-05-19,17.059999465942383
2016-05-20,16.43000030517578
2016-05-23,16.15999984741211
2016-05-24,16.219999313354492
2016-05-25,15.520000457763672
2016-05-26,15.329999923706055
2016-05-27,15.260000228881836
2016-05-30,15.979999542236328
2016-05-31,16.049999237060547
2016-06-01,15.84000015258789
2016-06-02,15.09000015258789
2016-06-03,15.0
2016-06-06,15.359999656677246
2016-06-07,14.869999885559082
2016-06-08,15.140000343322754
2016-06-09,15.670000076293945
2016-06-10,15.970000267028809
2016-06-13,16.579999923706055
2016-06-14,17.190000534057617
2016-06-15,17.059999465942383
2016-06-16,17.700000762939453
2016-06-17,17.350000381469727
2016-06-20,17.520000457763672
2016-06-21,17.260000228881836
2016-06-22,18.18000030517578
2016-06-23,18.020000457763672
2016-06-24,18.6299991607666
2016-06-27,18.530000686645508
2016-06-28,17.729999542236328
2016-06-29,16.15999984741211
2016-06-30,16.290000915527344
2016-07-01,15.739999771118164
2016-07-04,15.579999923706055
2016-07-05,15.359999656677246
2016-07-07,15.3100004196167
2016-07-08,15.079999923706055
2016-07-11,14.850000381469727
2016-07-12,14.779999732971191
2016-07-13,15.329999923706055
2016-07-14,15.609999656677246
2016-07-15,15.640000343322754
2016-07-18,15.989999771118164
2016-07-19,15.800000190734863
2016-07-20,15.989999771118164
2016-07-21,15.710000038146973
2016-07-22,15.5
2016-07-25,15.720000267028809
2016-07-26,15.619999885559082
2016-07-27,15.430000305175781
2016-07-28,15.149999618530273
2016-07-29,14.920000076293945
2016-08-01,15.180000305175781
2016-08-02,15.6899995803833
2016-08-03,16.239999771118164
2016-08-04,15.140000343322754
2016-08-05,14.350000381469727
2016-08-08,14.59000015258789
2016-08-09,14.539999961853027
2016-08-10,14.920000076293945
2016-08-11,14.210000038146973
2016-08-12,13.770000457763672
2016-08-16,14.180000305175781
2016-08-17,14.779999732971191
2016-08-18,14.550000190734863
2016-08-19,14.539999961853027
2016-08-22,14.239999771118164
2016-08-23,13.899999618530273
2016-08-24,13.489999771118164
2016-08-25,13.289999961853027
2016-08-26,13.569999694824219
2016-08-29,13.170000076293945
2016-08-30,13.020000457763672
2016-08-31,13.239999771118164
2016-09-01,13.34000015258789
2016-09-02,12.9399995803833
2016-09-06,12.75
2016-09-07,13.149999618530273
2016-09-08,13.119999885559082
2016-09-09,13.229999542236328
2016-09-12,15.239999771118164
2016-09-14,14.760000228881836
2016-09-15,14.680000305175781
2016-09-16,14.579999923706055
2016-09-19,14.9399995803833
2016-09-20,14.779999732971191
2016-09-21,14.8100004196167
2016-09-22,13.34000015258789
2016-09-23,13.25
2016-09-26,14.569999694824219
2016-09-27,14.25
2016-09-28,13.850000381469727
2016-09-29,18.450000762939453
2016-09-30,17.18000030517578
2016-10-03,15.619999885559082
2016-10-04,14.989999771118164
2016-10-05,14.930000305175781
2016-10-06,14.84000015258789
2016-10-07,14.489999771118164
2016-10-10,14.289999961853027
2016-10-13,15.430000305175781
2016-10-14,14.890000343322754
2016-10-17,15.65999984741211
2016-10-18,14.539999961853027
2016-10-19,14.609999656677246
2016-10-20,14.170000076293945
2016-10-21,13.829999923706055
2016-10-24,14.329999923706055
2016-10-25,14.479999542236328
2016-10-26,14.449999809265137
2016-10-27,14.09000015258789
2016-10-28,14.649999618530273
2016-11-01,15.739999771118164
2016-11-02,16.799999237060547
2016-11-03,16.469999313354492
2016-11-04,16.850000381469727
2016-11-07,16.510000228881836
2016-11-08,16.770000457763672
2016-11-09,16.6200008392334
2016-11-10,15.460000038146973
2016-11-11,17.360000610351562
2016-11-15,20.149999618530273
2016-11-16,19.5
2016-11-17,18.709999084472656
2016-11-18,17.809999465942383
