date,entry,gap,bias,confidence,regime,strategy,pnl,capital
2024-02-14,21840.05078125,0,NEUTRAL,5.0,0,IRON CONDOR,-10570.0,-94260.0
2024-02-15,21910.75,0,NEUTRAL,5.0,0,IRON CONDOR,-10570.0,-104830.0
2024-02-16,21940.69921875,-100,NEUTRAL,20.0,0,IRON CONDOR,-10570.0,-115400.0
2024-02-19,22122.25,0,NEUTRAL,20.0,0,IRON CONDOR,5810.0,-109590.0
2024-02-20,22196.94921875,0,NEUTRAL,5.0,0,IRON CONDOR,5960.0,-103630.0
2024-02-21,22055.05078125,0,NEUTRAL,10.0,1,IRON CONDOR,2360.0,-101270.0
2024-02-22,22067.44921875,-150,NEUTRAL,2.0,1,IRON CONDOR,5810.0,-95460.0
2024-02-23,22212.69921875,0,NEUTRAL,20.0,1,IRON CONDOR,-10435.0,-105895.0
2024-02-26,22122.05078125,0,NEUTRAL,10.0,1,IRON CONDOR,2330.0,-103565.0
2024-02-27,22198.349609375,0,NEUTRAL,20.0,1,IRON CONDOR,5885.0,-97680.0
2024-02-28,21951.150390625,0,NEUTRAL,10.0,1,IRON CONDOR,-10840.0,-108520.0
2024-02-29,22082.80078125,100,NEUTRAL,5.0,1,IRON CONDOR,-10705.000000000002,-119225.0
2024-03-01,22338.75,0,NEUTRAL,15.0,1,IRON CONDOR,2300.0,-116925.0
2024-03-04,22405.599609375,0,NEUTRAL,20.0,1,IRON CONDOR,5735.0,-111190.0
2024-03-05,22306.30078125,-50,NEUTRAL,5.0,1,IRON CONDOR,-10300.0,-121490.0
2024-03-06,22424.05078125,-50,BULLISH,35.0,1,BULL PUT SPREAD,-10300.0,-131790.0
2024-03-07,22493.55078125,0,BULLISH,35.0,1,BULL PUT SPREAD,-10030.000000000002,-141820.0
2024-03-11,22332.650390625,0,NEUTRAL,5.0,1,IRON CONDOR,-10165.0,-151985.0
2024-03-12,22335.69921875,0,NEUTRAL,25.0,1,IRON CONDOR,-10165.0,-162150.0
2024-03-13,21997.69921875,0,NEUTRAL,10.0,1,IRON CONDOR,5660.0,-156490.0
2024-03-14,22146.650390625,0,NEUTRAL,10.0,1,IRON CONDOR,-10030.000000000002,-166520.0
2024-03-15,22023.349609375,0,NEUTRAL,25.0,1,IRON CONDOR,-10165.0,-176685.0
2024-03-18,22205.69921875,150,BULLISH,38.0,1,BULL PUT SPREAD,-10165.0,-186850.0
2024-03-19,21817.44921875,0,NEUTRAL,5.0,1,IRON CONDOR,-10300.0,-197150.0
2024-03-20,21839.099609375,0,NEUTRAL,5.0,1,IRON CONDOR,-10030.000000000002,-207180.0
2024-03-21,22011.94921875,0,NEUTRAL,10.0,1,IRON CONDOR,-9760.0,-216940.0
2024-03-22,22096.75,0,NEUTRAL,10.0,1,IRON CONDOR,-9625.0,-226565.0
2024-03-26,22004.69921875,0,NEUTRAL,25.0,1,IRON CONDOR,-9895.0,-236460.0
2024-03-27,22273.650390625,150,BULLISH,38.0,1,BULL PUT SPREAD,5360.0,-231100.0
2024-03-28,22326.900390625,0,NEUTRAL,10.0,1,IRON CONDOR,-9895.0,-240995.0
2024-04-01,22612.0,150,BULLISH,53.0,1,LONG CALL SPREAD,-3190.0,-244185.0
2024-04-02,22453.30078125,0,NEUTRAL,5.0,1,NO TRADE,0.0,-244185.0
2024-04-03,22434.650390625,0,NEUTRAL,10.0,1,NO TRADE,0.0,-244185.0
2024-04-04,22514.650390625,0,NEUTRAL,5.0,1,NO TRADE,0.0,-244185.0
2024-04-05,22613.69921875,100,BULLISH,35.0,1,BULL PUT SPREAD,2030.0,-242155.0
2024-04-08,22666.30078125,0,NEUTRAL,20.0,1,NO TRADE,0.0,-242155.0
2024-04-09,22642.75,0,NEUTRAL,20.0,1,NO TRADE,0.0,-242155.0
2024-04-10,22753.80078125,0,NEUTRAL,5.0,1,NO TRADE,0.0,-242155.0
2024-04-12,22519.400390625,0,NEUTRAL,5.0,1,NO TRADE,0.0,-242155.0
2024-04-15,22372.5,100,NEUTRAL,5.0,1,IRON CONDOR,-9760.0,-251915.0
2024-04-16,22147.900390625,0,NEUTRAL,10.0,1,IRON CONDOR,-9760.0,-261675.0
2024-04-18,22095.849609375,100,NEUTRAL,25.0,1,IRON CONDOR,-9895.0,-271570.0
2024-04-19,22097.0,-50,NEUTRAL,25.0,1,IRON CONDOR,-10030.000000000002,-281600.0
2024-04-22,22336.400390625,0,NEUTRAL,5.0,1,IRON CONDOR,-9760.0,-291360.0
2024-04-23,22368.0,0,NEUTRAL,5.0,1,NO TRADE,0.0,-291360.0
2024-04-24,22402.400390625,0,NEUTRAL,10.0,1,NO TRADE,0.0,-291360.0
2024-04-25,22670.349609375,100,NEUTRAL,10.0,1,NO TRADE,0.0,-291360.0
