date,open,high,low,close,volume,dividends,stock_splits
2016-02-11,7203.60009765625,7208.64990234375,6959.9501953125,6976.35009765625,292300,0.0,0.0
2016-02-12,7023.64990234375,7034.7998046875,6869.0,6980.9501953125,333900,0.0,0.0
2016-02-15,7057.35009765625,7182.7998046875,7056.7998046875,7162.9501953125,354200,0.0,0.0
2016-02-16,7201.25,7204.64990234375,7037.7001953125,7048.25,253800,0.0,0.0
2016-02-17,7058.85009765625,7123.7001953125,6960.64990234375,7108.4501953125,260000,0.0,0.0
2016-02-18,7177.39990234375,7215.10009765625,7127.85009765625,7191.75,246700,0.0,0.0
2016-02-19,7170.5498046875,7226.85009765625,7145.9501953125,7210.75,192300,0.0,0.0
2016-02-22,7208.85009765625,7252.39990234375,7200.7001953125,7234.5498046875,154400,0.0,0.0
2016-02-23,7240.2998046875,7241.7001953125,7090.7001953125,7109.5498046875,194400,0.0,0.0
2016-02-24,7075.0,7090.7998046875,7009.75,7018.7001953125,199700,0.0,0.0
2016-02-25,7029.85009765625,7034.2001953125,6961.39990234375,6970.60009765625,283100,0.0,0.0
2016-02-26,7039.2998046875,7052.89990234375,6985.10009765625,7029.75,206700,0.0,0.0
2016-02-29,7050.4501953125,7094.60009765625,6825.7998046875,6987.0498046875,473400,0.0,0.0
2016-03-01,7038.25,7235.5,7035.10009765625,7222.2998046875,275100,0.0,0.0
2016-03-02,7321.7001953125,7380.35009765625,7308.14990234375,7368.85009765625,338500,0.0,0.0
2016-03-03,7429.5498046875,7483.9501953125,7406.0498046875,7475.60009765625,278600,0.0,0.0
2016-03-04,7505.39990234375,7505.89990234375,7444.10009765625,7485.35009765625,281700,0.0,0.0
2016-03-08,7486.39990234375,7527.14990234375,7442.14990234375,7485.2998046875,257000,0.0,0.0
2016-03-09,7436.10009765625,7539.0,7424.2998046875,7531.7998046875,245100,0.0,0.0
2016-03-10,7545.35009765625,7547.10009765625,7447.39990234375,7486.14990234375,224700,0.0,0.0
2016-03-11,7484.85009765625,7543.9501953125,7460.60009765625,7510.2001953125,198700,0.0,0.0
2016-03-14,7542.60009765625,7583.7001953125,7515.0498046875,7538.75,166900,0.0,0.0
2016-03-15,7535.85009765625,7545.2001953125,7452.7998046875,7460.60009765625,193700,0.0,0.0
2016-03-16,7457.0498046875,7508.0,7405.14990234375,7498.75,195400,0.0,0.0
2016-03-17,7557.39990234375,7585.2998046875,7479.39990234375,7512.5498046875,239600,0.0,0.0
2016-03-18,7534.64990234375,7613.60009765625,7517.89990234375,7604.35009765625,237400,0.0,0.0
2016-03-21,7619.2001953125,7713.5498046875,7617.7001953125,7704.25,196800,0.0,0.0
2016-03-22,7695.5498046875,7728.2001953125,7643.7998046875,7714.89990234375,208900,0.0,0.0
2016-03-23,7717.4501953125,7726.85009765625,7670.60009765625,7716.5,199600,0.0,0.0
2016-03-28,7741.0,7749.39990234375,7587.7001953125,7615.10009765625,242400,0.0,0.0
2016-03-29,7606.5498046875,7652.89990234375,7582.25,7597.0,216800,0.0,0.0
2016-03-30,7651.10009765625,7741.9501953125,7643.4501953125,7735.2001953125,232600,0.0,0.0
2016-03-31,7727.64990234375,7777.60009765625,7702.0,7738.39990234375,380100,0.0,0.0
2016-04-01,7718.0498046875,7740.14990234375,7666.10009765625,7713.0498046875,183900,0.0,0.0
2016-04-04,7733.14990234375,7764.4501953125,7704.39990234375,7758.7998046875,155500,0.0,0.0
2016-04-05,7736.2998046875,7736.2998046875,7588.64990234375,7603.2001953125,203800,0.0,0.0
2016-04-06,7636.0498046875,7638.64990234375,7591.75,7614.35009765625,165600,0.0,0.0
2016-04-07,7630.39990234375,7630.75,7535.85009765625,7546.4501953125,234400,0.0,0.0
2016-04-08,7542.35009765625,7569.35009765625,7526.7001953125,7555.2001953125,143400,0.0,0.0
2016-04-11,7577.7998046875,7678.7998046875,7516.85009765625,7671.39990234375,179800,0.0,0.0
2016-04-12,7669.25,7717.39990234375,7663.35009765625,7708.9501953125,163400,0.0,0.0
2016-04-13,7777.14990234375,7864.7998046875,7772.2001953125,7850.4501953125,220400,0.0,0.0
2016-04-18,7908.14990234375,7920.60009765625,7842.75,7914.7001953125,184600,0.0,0.0
2016-04-20,7950.0498046875,7950.39990234375,7877.5498046875,7914.75,205300,0.0,0.0
2016-04-21,7953.64990234375,7978.4501953125,7884.10009765625,7912.0498046875,223700,0.0,0.0
2016-04-22,7891.7998046875,7923.35009765625,7873.35009765625,7899.2998046875,183300,0.0,0.0
2016-04-25,7894.7998046875,7911.0,7827.0,7855.0498046875,146300,0.0,0.0
2016-04-26,7828.14990234375,7974.5,7822.5498046875,7962.64990234375,202400,0.0,0.0
2016-04-27,7942.0,7991.0,7940.5498046875,7979.89990234375,206800,0.0,0.0
2016-04-28,7967.39990234375,7992.0,7834.4501953125,7847.25,292500,0.0,0.0
2016-04-29,7844.25,7889.0498046875,7788.7001953125,7849.7998046875,243700,0.0,0.0
2016-05-02,7822.7001953125,7829.7998046875,7777.2998046875,7805.89990234375,146300,0.0,0.0
2016-05-03,7824.7998046875,7890.25,7735.14990234375,7747.0,186500,0.0,0.0
2016-05-04,7724.14990234375,7749.0,7697.25,7706.5498046875,199700,0.0,0.0
2016-05-05,7731.0,7777.5498046875,7706.85009765625,7735.5,185100,0.0,0.0
2016-05-06,7717.64990234375,7738.89990234375,7678.35009765625,7733.4501953125,163600,0.0,0.0
2016-05-09,7755.25,7873.64990234375,7753.5498046875,7866.0498046875,160600,0.0,0.0
2016-05-10,7873.5498046875,7896.89990234375,7837.7001953125,7887.7998046875,162000,0.0,0.0
2016-05-11,7804.64990234375,7893.10009765625,7780.89990234375,7848.85009765625,214100,0.0,0.0
2016-05-12,7871.4501953125,7916.0498046875,7849.64990234375,7900.39990234375,152700,0.0,0.0
2016-05-13,7881.0,7881.0,7784.2001953125,7814.89990234375,179500,0.0,0.0
2016-05-16,7831.2001953125,7873.89990234375,7772.14990234375,7860.75,205200,0.0,0.0
2016-05-17,7896.85009765625,7940.10009765625,7879.7001953125,7890.75,183400,0.0,0.0
2016-05-18,7846.75,7882.0498046875,7810.75,7870.14990234375,156400,0.0,0.0
2016-05-19,7875.5,7876.2001953125,7766.7998046875,7783.39990234375,170400,0.0,0.0
2016-05-20,7792.2001953125,7812.39990234375,7735.75,7749.7001953125,157000,0.0,0.0
2016-05-23,7813.9501953125,7820.60009765625,7722.2001953125,7731.0498046875,172000,0.0,0.0
2016-05-24,7738.0498046875,7761.5498046875,7715.7998046875,7748.85009765625,147000,0.0,0.0
2016-05-25,7811.7998046875,7941.2001953125,7809.2998046875,7934.89990234375,176200,0.0,0.0
2016-05-26,7974.4501953125,8083.0,7948.5,8069.64990234375,264300,0.0,0.0
2016-05-27,8081.9501953125,8164.2001953125,8077.0498046875,8156.64990234375,260900,0.0,0.0
2016-05-30,8166.5,8200.0,8150.7998046875,8178.5,247400,0.0,0.0
2016-05-31,8209.849609375,8213.599609375,8134.2998046875,8160.10009765625,471000,0.0,0.0
2016-06-01,8179.2001953125,8215.349609375,8171.0498046875,8179.9501953125,194400,0.0,0.0
2016-06-02,8156.89990234375,8229.5,8154.75,8218.9501953125,181700,0.0,0.0
2016-06-03,8246.2001953125,8262.0,8209.849609375,8220.7998046875,379000,0.0,0.0
2016-06-06,8228.75,8234.7001953125,8186.0498046875,8201.0498046875,171600,0.0,0.0
2016-06-07,8235.5498046875,8294.9501953125,8216.400390625,8266.4501953125,241900,0.0,0.0
2016-06-08,8285.5,8288.900390625,8252.0498046875,8273.0498046875,174300,0.0,0.0
2016-06-09,8273.349609375,8273.349609375,8184.60009765625,8203.599609375,174900,0.0,0.0
2016-06-10,8180.25,8265.599609375,8162.85009765625,8170.0498046875,182200,0.0,0.0
2016-06-13,8102.25,8125.25,8063.89990234375,8110.60009765625,169700,0.0,0.0
2016-06-14,8134.39990234375,8134.9501953125,8069.5,8108.85009765625,145500,0.0,0.0
2016-06-15,8139.39990234375,8213.2001953125,8123.14990234375,8206.599609375,169800,0.0,0.0
